 GPRMC,utc时间:01时34分33秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分33秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分34秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分34秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分35秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分35秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分36秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分36秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分37秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分37秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分38秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分38秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分39秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分39秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分40秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分40秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分41秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分41秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1057

 GPRMC,utc时间:01时34分42秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分42秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1057

 GPRMC,utc时间:01时34分43秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分43秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1057

 GPRMC,utc时间:01时34分44秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分44秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1058

 GPRMC,utc时间:01时34分45秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分45秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1057

 GPRMC,utc时间:01时34分46秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分46秒  正确纬度:40度47分  正确经度:111度41分  卫星10 高度1057

 GPRMC,utc时间:01时34分47秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分47秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1057

 GPRMC,utc时间:01时34分48秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分48秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1057

 GPRMC,utc时间:01时34分49秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分49秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1057

 GPRMC,utc时间:01时34分50秒  正确纬度:40度47分  正确经度:111度41分  正确日期:2017年05月10日
GPGGA,utc时间:01时34分50秒  正确纬度:40度47分  正确经度:111度41分  卫星09 高度1057

